areaNm,areaNm_full,cropsSpchcknCode,crpstDsgnRegistId,exam1,exam2,exam3,exam4,exam5,exam6,exam7,examForm,examinTmrd,exprAreaCode,exprSpchcknCode,exprYear,pajong,rnum,sortSn,spciesCode,spciesNm,srchExaminTmrd,totCnt
익산,익산(전북특별자치도 농업기술원),001,00122017001860, , , , ,110.1,14.5,345.1,1,6,0326,002,2017,2017-04-30,69,8,R32084,새누리,6,76
계화,계화(국립식량과학원),001,00122017001821, , , , ,94,13.7,327,1,6,0343,002,2017,2017-04-30,70,8,R32088,청호,6,76
예산,예산(충청남도 농업기술원),001,00122017001858, , , , ,97.5,17,404.6,1,6,0350,002,2017,2017-04-25,71,8,R32091,호품,6,76
익산,익산(전북특별자치도 농업기술원),001,00122017001861, , , , ,94.3,14.9,354.6,1,6,0326,002,2017,2017-04-30,72,8,R32091,호품,6,76
안동,안동(경상북도 농업기술원),001,00122017001876, , , , ,99,16.9,402.2,1,6,0351,002,2017,2017-04-20,73,8,R32093,새일미,6,76
화성,화성(경기도 경기도농업기술원),001,00122017001827, , , , ,120.8,17.5,416.7,1,6,0332,002,2017,2017-04-20,74,8,R33009,추청,6,76
청원,청원(충청북도 농업기술원),001,00122017001854, , , , ,90,19.5,464.1,1,6,2325,002,2017,2017-04-25,75,8,R33009,추청,6,76
예산,예산(충청남도 농업기술원),001,00122017001857, , , , ,112.5,21.6,514.1,1,6,0350,002,2017,2017-04-25,76,8,R33009,추청,6,76
나주,나주(전라남도 농업기술원),001,00122018001941, , , , ,92.3,15.2,362,1,6,0352,002,2018,2018-05-10,1,3,R32006,일미벼,6,75
나주,나주(전라남도 농업기술원),001,00122018001944, , , , ,86.7,20,476,1,6,0352,002,2018,2018-05-10,2,3,R32081,미품,6,75
나주,나주(전라남도 농업기술원),001,00122018001943, , , , ,100.6,15.5,369,1,6,0352,002,2018,2018-05-10,3,3,R32084,새누리,6,75
나주,나주(전라남도 농업기술원),001,00122018001942, , , , ,98.7,18.5,440,1,6,0352,002,2018,2018-05-10,4,3,R32090,호평,6,75
나주,나주(전라남도 농업기술원),001,00122018001945, , , , ,79.8,18.5,440,1,6,0352,002,2018,2018-05-10,5,3,R32092,현품,6,75
대구,대구(경상북도 농업기술원),001,00122018001946, , , , ,103.9,15.1,359.4,1,6,0340,002,2018,2018-04-30,6,4,R22009,화영벼,6,75
대구,대구(경상북도 농업기술원),001,00122018001948, , , , ,97.9,16.1,383.2,1,6,0340,002,2018,2018-04-30,7,4,R22083,삼덕,6,75
대구,대구(경상북도 농업기술원),001,00122018001947, , , , ,105.8,16.6,395.1,1,6,0340,002,2018,2018-04-30,8,4,R32001,일품벼,6,75
대구,대구(경상북도 농업기술원),001,00122018001949, , , , ,106.7,16.7,397.5,1,6,0340,002,2018,2018-04-30,9,4,R32082,삼광,6,75
대구,대구(경상북도 농업기술원),001,00122018001950, , , , ,105.1,15.8,376,1,6,0340,002,2018,2018-04-30,10,4,R32093,새일미,6,75
진주,진주(경상남도 농업기술원),001,00122018001956, , , , ,93.1,14.9,354.62,1,6,0335,002,2018,2018-05-10,11,6,R22009,화영벼,6,75
진주,진주(경상남도 농업기술원),001,00122018001958, , , , ,95.9,16.5,392.7,1,6,0335,002,2018,2018-05-10,12,6,R32008,동안벼,6,75
진주,진주(경상남도 농업기술원),001,00122018001960, , , , ,101.3,14.4,342.72,1,6,0335,002,2018,2018-05-10,13,6,R32068,동진1호,6,75
